DataStructure,N,runs,med_cyc,avg_cyc,med_ins,avg_ins,ipc,med_cm,avg_cm,med_br,avg_br,med_brm,avg_brm,med_l1,avg_l1,med_tlb,avg_tlb,cv_pct,stddev_cycles,ci95_cycles
BST,1593,50,1411,1665,16884,14513,11.97,0,1,3347,3347,21,24,2621,2622,0,0,123.8,2062,572
AoS,1604,50,10063,6486,11685,11685,1.16,0,0,1705,1705,12,12,308,310,0,0,67.8,4397,1219
BTree,1595,50,10659,11065,21972,21972,2.06,0,0,39,1693,97,111,1128,1129,0,0,12.0,1323,367
LinkedList,1607,50,21617,21733,11703,11703,0.54,0,0,1708,1708,12,12,1112,1113,0,0,3.4,733,203
vEBTree,1590,50,9711,9696,11587,11587,1.19,0,0,1691,1691,12,12,20,21,0,0,2.0,196,54
RBTree,1609,50,12306,12235,335,3008,0.03,0,0,3379,3379,20,22,3020,3022,0,0,14.4,1758,487
HashMap,1600,50,9322,7704,22714,22714,2.44,0,0,4901,4901,17,23,1293,1294,0,0,47.8,3682,1021
Trie,1600,50,883028,613586,403265,339910,0.46,6,39,117294,98511,23063,19513,21607,19783,0,0,65.9,404210,112041
Vector,1589,50,1454,3675,11580,11580,7.96,0,0,1690,1690,12,12,10,12,0,0,105.2,3867,1072
CircularBuffer,1604,50,9822,9718,11685,11685,1.19,0,0,1705,1705,12,10,16,18,0,0,2.4,237,66
Array,1595,50,9870,9882,11622,11622,1.18,0,1,1696,1696,11,11,12,15,0,0,2.9,290,80
Heap,1609,50,10142,10104,11720,11720,1.16,0,0,1710,1710,11,11,16,18,0,0,2.4,240,67
SoA,1613,50,10321,10255,11748,11748,1.14,0,0,1714,1714,13,13,21,25,0,0,1.6,169,47
Deque,1599,50,10010,10031,20757,20757,2.07,0,0,4199,4199,16,17,11,14,0,0,1.6,156,43
SlabList,1587,50,1067,3302,14803,14803,13.87,0,0,2151,2151,16,16,26,27,0,0,137.2,4531,1256
SkipList,1612,50,25205,26039,11740,11740,0.47,28,47,1713,1713,12,12,1628,1628,0,0,11.0,2852,790
SlabList,1620,50,1477,4068,14803,14803,10.02,0,1,2151,2151,14,14,23,24,0,0,118.7,4831,1339
vEBTree,1617,50,10290,10277,11776,11776,1.14,0,0,1718,1718,12,12,17,22,0,0,2.4,246,68
BST,1640,50,1488,4618,17354,17354,11.66,0,0,3441,3441,24,26,2750,2749,0,0,119.8,5531,1533
