data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles,source_file,is_standardized
SkipList,10000000,3,139490981,50055535,0.36,13544963,7238948,25,7148152,111612,2.4,3344250.0,3784375.0,deep_scaling_results_1776339155.csv,True
SlabList,1000,1000,6654,7628,1.15,2,1126,12,15,0,58.2,2831.0,175.0,deep_scaling_results_1776339155.csv,True
SlabList,2500,1000,18007,21978,1.22,5,3176,16,56,0,60.5,7941.0,492.0,deep_scaling_results_1776339155.csv,True
SlabList,5000,1000,29115,36328,1.25,1,5226,18,209,0,66.2,13297.0,824.0,deep_scaling_results_1776339155.csv,True
SlabList,7500,1000,45393,57853,1.27,8,8301,21,515,0,85.2,22390.0,1388.0,deep_scaling_results_1776339155.csv,True
SlabList,10000,1000,56478,72203,1.28,36,10351,24,654,0,86.2,27894.0,1729.0,deep_scaling_results_1776339155.csv,True
SlabList,25000,1000,139570,179828,1.29,53,25726,39,1615,0,86.5,69310.0,4296.0,deep_scaling_results_1776339155.csv,True
SlabList,50000,1000,272586,352028,1.29,51,50326,63,3159,0,71.5,128903.0,7990.0,deep_scaling_results_1776339155.csv,True
SlabList,75000,1000,409970,531403,1.3,38,75951,87,4763,0,84.8,199963.0,12394.0,deep_scaling_results_1776339155.csv,True
SlabList,100000,200,543767,703603,1.29,178,100551,111,6307,0,85.1,265117.0,36743.0,deep_scaling_results_1776339155.csv,True
SlabList,250000,200,1296452,1758328,1.36,4950,251226,259,15753,0,82.2,644875.0,89375.0,deep_scaling_results_1776339155.csv,True
SlabList,500000,200,1926641,3509029,1.82,17621,501327,502,31432,0,77.8,1216384.0,168582.0,deep_scaling_results_1776339155.csv,True
SlabList,750000,200,2703537,5173575,1.91,32978,740336,738,46149,3,72.5,1705981.0,236437.0,deep_scaling_results_1776339155.csv,True
SlabList,1000000,20,3463990,6189768,1.79,32870,859331,845,53837,18,68.9,2180539.0,955663.0,deep_scaling_results_1776339155.csv,True
SlabList,2500000,20,7745415,11104474,1.43,159025,1561383,1579,108421,1399,23.5,1881840.0,824753.0,deep_scaling_results_1776339155.csv,True
SlabList,5000000,20,16077636,25131354,1.56,361872,3708756,3542,228426,2721,17.3,2757358.0,1208465.0,deep_scaling_results_1776339155.csv,True
SlabList,7500000,20,23962694,38919871,1.62,550540,5541455,5441,344162,4180,7.8,1865246.0,817480.0,deep_scaling_results_1776339155.csv,True
SlabList,10000000,3,31207211,49301554,1.58,706010,7050135,7228,464711,5467,0.6,200279.0,226637.0,deep_scaling_results_1776339155.csv,True
Trie,1000,1000,575161,257963,0.45,0,75273,14581,13827,0,85.0,282121.0,17486.0,deep_scaling_results_1776339155.csv,True
Trie,2500,1000,1436049,615594,0.43,29,178500,36784,32872,0,59.6,637251.0,39497.0,deep_scaling_results_1776339155.csv,True
Trie,5000,1000,2789880,1179851,0.42,4338,280139,71521,61977,0,65.0,1350804.0,83724.0,deep_scaling_results_1776339155.csv,True
Trie,7500,1000,4362609,1627469,0.37,36253,415009,88227,85533,22,55.6,1892017.0,117268.0,deep_scaling_results_1776339155.csv,True
Trie,10000,1000,5944179,1779395,0.3,131719,517147,87013,75078,2025,40.4,2165507.0,134219.0,deep_scaling_results_1776339155.csv,True
Trie,25000,1000,11502175,3750898,0.33,574245,883453,227335,222188,20094,8.7,1011869.0,62716.0,deep_scaling_results_1776339155.csv,True
