data_structure,N,runs,median_cycles,median_instructions,ipc,median_cache_misses,median_branches,median_branch_misses,median_l1_misses,median_tlb_misses,cv_pct,stddev_cycles,ci95_cycles
Array,2886,1000,17131,20658,1.21,8,2987,12,81,0,76.0,9922,615
Array,2890,1000,16780,20686,1.23,9,2991,11,79,0,83.9,9385,582
Array,2897,1000,16829,20735,1.23,4,2998,11,92,0,87.4,9264,574
Array,2902,1000,17321,20770,1.20,9,3003,12,78,0,69.6,9584,594
Array,2908,1000,16951,20812,1.23,5,3009,11,65,0,72.7,9222,572
Array,2913,1000,17131,20847,1.22,6,3014,12,71,0,80.9,9415,584
Array,2920,1000,16901,20896,1.24,2,3021,11,76,0,88.1,9768,605
Array,2926,1000,16988,20938,1.23,9,3027,12,81,0,78.0,9082,563
Array,2930,1000,16839,20966,1.25,2,3031,12,76,0,95.2,10436,647
Array,2936,1000,17509,21008,1.20,4,39,12,74,0,57.4,8287,514
Array,2944,1000,17459,21064,1.21,4,3045,5,76,0,58.2,8536,529
Array,2950,1000,17462,21106,1.21,13,3051,12,75,0,76.8,9930,615
Array,2956,1000,17151,21148,1.23,7,3057,12,78,0,83.5,10575,655
Array,2964,1000,17350,21204,1.22,10,3065,11,105,0,92.7,11490,712
Array,2969,1000,17889,21239,1.19,12,3070,11,82,0,71.4,9601,595
Array,2974,1000,17613,21274,1.21,22,3075,12,86,0,81.9,10630,659
Array,2980,1000,17847,21316,1.19,8,3081,12,83,0,70.7,9742,604
Array,2985,1000,17741,21351,1.20,17,3086,11,95,0,82.2,9453,586
Array,2990,1000,17299,21386,1.24,16,3091,12,126,0,89.4,10096,626
Array,2997,1000,17542,21435,1.22,18,3098,12,114,0,88.3,10387,644
Array,3003,1000,17661,21477,1.22,18,3104,12,89,0,86.8,10250,635
Array,3011,1000,17778,21533,1.21,17,3112,12,190,0,66.7,8923,553
Array,3015,1000,2744,21561,7.86,13,3116,12,198,0,93.9,9616,596
Array,3021,1000,17780,21603,1.22,11,3122,11,75,0,77.8,10088,625
Array,3028,1000,17592,21652,1.23,2,3129,12,64,0,56.1,8264,512
Array,3033,1000,17754,21687,1.22,7,3134,12,75,0,84.5,10169,630
Array,3039,1000,17580,21729,1.24,3,3140,12,72,0,83.4,10362,642
Array,3046,1000,17970,21778,1.21,8,3147,11,86,0,81.6,10512,652
Array,3052,1000,17971,21820,1.21,13,3153,12,88,0,79.4,10198,632
Array,3056,1000,18424,21848,1.19,13,3157,12,91,0,60.6,9400,583
Array,3065,1000,18137,21911,1.21,16,3166,12,86,0,77.5,10519,652
Array,3069,1000,17645,21939,1.24,5,3170,12,70,0,88.7,9956,617
Array,3075,1000,18093,21981,1.21,8,3176,12,1,0,55.1,8406,521
Array,3080,1000,18053,22016,1.22,11,3181,13,80,0,65.6,9740,604
Array,3088,1000,17990,22072,1.23,25,3189,11,95,0,79.3,9166,568
Array,3094,1000,18393,22114,1.20,13,3195,12,84,0,65.3,9968,618
Array,3100,1000,18021,22156,1.23,26,3201,12,97,0,84.7,9999,620
Array,3106,1000,18742,22198,1.18,22,3207,12,123,0,66.5,10865,673
Array,3112,1000,18394,22240,1.21,4,3213,12,83,0,56.5,9041,560
Array,3120,1000,18454,22296,1.21,8,3221,10,115,0,62.7,9092,564
Array,3125,1000,18055,22331,1.24,32,3226,12,100,0,86.6,9947,617
Array,3132,1000,18205,22380,1.23,16,3233,12,112,0,87.9,9930,615
Array,3136,1000,18387,22408,1.22,13,3237,11,88,0,80.3,10393,644
Array,3143,1000,2392,22457,9.39,11,3244,12,89,0,94.0,9970,618
Array,3147,1000,18654,22485,1.21,14,3248,12,62,0,69.1,9805,608
Array,3155,1000,18595,22541,1.21,26,3256,12,199,0,70.3,10324,640
Array,3158,1000,18409,22562,1.23,2,3259,11,88,0,75.9,9492,588
Array,3165,1000,18693,22611,1.21,12,3266,12,5,0,63.7,8832,547
Array,3172,1000,19034,22660,1.19,22,3273,12,89,0,80.8,10918,677
