data_structure,N,runs,cycles,instructions,ipc,cache_misses,branches,branch_misses,L1_misses,TLB_misses
AoS,90208,271,155016262,175060252,1.13,3813313,25553920,24883,9331066,7799
AoS,256547,272,497236972,503109325,1.01,30494544,72962885,43323,26381839,311352
AoS,459618,306,954274729,1014251840,1.06,60446566,145683729,70274,53523568,840614
AoS,684579,305,1410208694,1506525872,1.07,90854893,216551739,100520,79490285,1262588
AoS,913723,288,1784392253,1903019389,1.07,116264210,273075148,114594,99963086,1590170
AoS,2263049,34,586371926,643531992,1.10,35241174,93594516,61370,30089667,479576
AoS,4500140,25,911607150,997003024,1.09,52956722,144381306,100705,44812191,704556
AoS,6773526,31,1602195354,1793974220,1.12,94920780,258774623,150759,82399927,1302848
AoS,10000000,2,468943148,595234743,1.27,14791043,89110792,113242,12780256,179425
SoA,937,277,2846653,2702014,0.95,29110,428886,7991,3550,<notcounted>
SoA,2415,329,5170931,5979802,1.16,27256,971427,6837,9376,105
SoA,4644,293,8652455,10251445,1.18,52648,1557553,7290,24269,162
SoA,8154,314,15790358,18896300,1.20,68907,2806421,10450,63571,202
SoA,10712,289,18798384,22625775,1.20,72701,3367291,10616,220678,351
SoA,23295,277,38544251,47257639,1.23,143861,6811018,14899,450733,917
SoA,47692,324,90587005,111650019,1.23,305875,16034708,20823,1059155,2480
SoA,69708,325,131908937,163546073,1.24,625066,23517881,22481,1539777,1533
SoA,90208,307,158615421,199996909,1.26,753610,28775453,25077,1868003,1558
SoA,256547,277,416087881,512649927,1.23,5140202,73670771,39459,4909914,17558
SoA,459618,284,780761325,942144027,1.21,13688003,135381259,69974,8929263,77944
SoA,684579,320,1267389742,1576676585,1.24,20471460,226482780,107469,14583130,90242
SoA,913723,322,1703260723,2115105691,1.24,29266905,303792972,122985,19711819,134684
SoA,2263049,30,459547737,579036193,1.26,8292333,83898883,58688,5763207,81899
SoA,4500140,27,832328966,1054681262,1.27,15090418,153480858,92010,10581060,154072
SoA,6773526,28,1298802868,1639926008,1.26,23488184,238575928,142351,16382014,240841
SoA,10000000,2,461933617,588449316,1.27,8346196,89687945,116239,7697631,83373
BST,937,278,1657286,2687028,1.62,25734,428799,7683,13663,<notcounted>
BST,2415,274,4750482,4543691,0.96,33201,840345,8058,22123,261
BST,4644,295,8483766,10087108,1.19,34608,1558799,6923,10332,117
BST,8154,292,14333953,17341370,1.21,60669,2544987,10064,25395,187
BST,10712,326,20946797,24907492,1.19,68822,3723255,9672,247498,560
BST,23295,272,37367894,45476571,1.22,103226,6582750,13708,429138,394
BST,47692,329,89285834,111729931,1.25,294189,16106776,16616,1040567,1281
BST,69708,283,112592618,140591886,1.25,478611,20271347,19528,1301626,1482
BST,90208,298,154159848,190841118,1.24,826083,27567962,21851,1762555,2816
BST,256547,323,476772509,587502185,1.23,6749488,84473007,49899,5397931,23858
BST,459618,328,858456611,1069898664,1.25,12244775,153286666,71172,9743690,36046
BST,684579,321,1243660628,1555624893,1.25,18119789,223626624,89443,14202477,69213
BST,913723,307,1586970709,1985010825,1.25,24985920,285372835,96590,18074435,115339
BST,2263049,32,424820640,532997899,1.25,7708319,77451478,35710,4874505,77245
BST,4500140,31,819712195,1029418660,1.26,14754882,149714066,62920,9361716,148192
BST,6773526,28,1116193156,1401457739,1.26,20068010,204880720,87123,12759885,204274
BST,10000000,2,169130078,242921425,1.44,2933912,38792581,31499,2071460,29899
Vector,937,293,2663287,2916483,1.10,36643,444804,7894,10140,<notcounted>
Vector,2415,305,5363605,5021079,0.94,33091,907910,7780,22987,223
